txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,part1,part2,part3,part4,part5,part6
0x5af7f837d9b276dde6ec9aef6dbffc28dcb13409154e0e1dd38dc2d79443923e,11765274,Aquatic,0,"0,004","6,96",2023-06-10 14:59:41,eyes-topaz,ears-innocent-lamb,back-timber,mouth-lam,horn-antenna,tail-nimo
0x9a574d5899d4dfbb70e8ac5e23057914267273eea316871a4d74dee8460ae2a2,1666907,Beast,3,"0,004","6,96",2023-06-10 14:59:29,eyes-chubby,ears-nyan,back-ronin,mouth-silence-whisper,horn-imp,tail-cattail
0xe6e4bdacd289ac0dfd9caf0b6a524a44efbd3a9af443b791816f30e95ba5ec65,6196241,Aquatic,4,"0,00105","1,83",2023-06-10 15:01:29,eyes-clear,ears-inkling,back-goldfish,mouth-piranha,horn-babylonia,tail-nimo
0xeadcfe869996a7f1ecca12266350fd27a896acd806ebca137462aeb219edb0d2,11765767,Beast,3,"0,02","34,79",2023-06-10 15:02:14,eyes-little-peas,ears-nut-cracker,back-furball,mouth-nut-cracker,horn-little-branch,tail-nut-cracker
0x6697bd6d6fec3a35a7ac74fc0fcce6414056a32f945faf553ac442c9b2eea42d,11707148,Bug,4,"0,02","34,79",2023-06-10 15:02:14,eyes-topaz,ears-innocent-lamb,back-garish-worm,mouth-square-teeth,horn-anemone,tail-nimo
0x7bf84dece443ccdfdc1d96499b1967158680a5f7efd066e891dc0ac42219a1f5,11760267,Beast,0,"0,00166925","2,9",2023-06-10 15:02:11,eyes-chubby,ears-nut-cracker,back-mint,mouth-nut-cracker,horn-imp,tail-nut-cracker
0x0f94eecc8877515a77fc4c69e677520b7af8a39efa4eba8758348e618d30d6fb,9604654,Dusk,2,"0,00065","1,13",2023-06-10 15:01:38,eyes-cucumber-slice,ears-leafy,back-snail-shell,mouth-tiny-turtle,horn-lagging,tail-thorny-caterpillar
0x062a01db241c624cf1e69519bb05701e1bde7f965a524de0e337435861167fba,7247203,Beast,3,"0,00285","4,96",2023-06-10 15:03:29,eyes-little-peas,ears-innocent-lamb,back-ronin,mouth-goda,horn-little-branch,tail-nut-cracker
0xefbbd04ae791c909425b5d048dee3b8cb81366f4d52099862d22e6f9d38e4459,3779885,Plant,1,"0,007","12,18",2023-06-10 15:03:20,eyes-topaz,ears-curved-spine,back-bidens,mouth-square-teeth,horn-feather-spear,tail-potato-leaf
0x365fda7113eb9c1df515dc4d3e36386b4b2ef4b336d4977d3394cf78e34c4f95,11516506,Aquatic,6,"0,0026","4,52",2023-06-10 15:02:26,eyes-sleepless,ears-seaslug,back-goldfish,mouth-risky-fish,horn-babylonia,tail-nimo
0x772b261ff4b1183729addd8bad4e897db4760e20458f86bc9ff1ce1c224f2f6a,11463577,Plant,3,"0,0009","1,57",2023-06-10 15:04:23,eyes-little-peas,ears-gill,back-scarab,mouth-little-owl,horn-cactus,tail-carrot
0xe82c9370ad4091f553578e6c14c69dc15917f09be98ba514d51b30955db61544,11572376,Aquatic,1,"0,008","13,92",2023-06-10 15:04:17,eyes-sleepless,ears-seaslug,back-goldfish,mouth-risky-fish,horn-babylonia,tail-koi
0xac3a5eb78e07f82bb6371a9509fba780d924859c168b37e23109eb6131d6bfa0,6960023,Aquatic,0,"0,0007","1,22",2023-06-10 15:03:59,eyes-topaz,ears-bubblemaker,back-goldfish,mouth-risky-fish,horn-babylonia,tail-koi
0xcdb0ed6ec55ecd64bd284ebc04d6e48521b68dc1ab27c20186e3b4a82699e7bf,10266371,Plant,0,"0,00068","1,18",2023-06-10 15:03:53,eyes-papi,ears-clover,back-ronin,mouth-goda,horn-cactus,tail-hot-butt
0x54fd4e8a33ed87eea59daeba0685c4cf25c95bf9a1952b0d2ce0b153056777f7,11761516,Aquatic,5,"0,00697225","12,13",2023-06-10 15:04:32,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-square-teeth,horn-bumpy,tail-nimo
0xc01d5bf8ae2fa0f037c4538af4e5fdcb3ee9cc875faf99a9d4653270b303a63f,9720432,Plant,1,"0,00068","1,18",2023-06-10 15:07:41,eyes-gecko,ears-sakura,back-bone-sail,mouth-zigzag,horn-cactus,tail-hot-butt
